ADM2_CODE,ADM2_NAME,RP10_pop_sum,RP100_pop_sum,RP1000_pop_sum,RP100_EAI
22351,Bagmati,0.0,315721.1875,0.0,3141.478304535068
22352,Janakpur,0.0,205555.5625,0.0,2045.312020658266
22353,Narayani,0.0,293483.28125,0.0,2920.2074402771545
22354,Koshi,0.0,741271.375,0.0,7375.773418232752
22355,Mechi,0.0,22406.259765625,0.0,222.9460097272944
22356,Sagarmatha,0.0,121924.2421875,0.0,1213.1664797723167
22357,Mahakali,0.0,285147.5,0.0,2837.265031009087
22358,Seti,0.0,91460.2578125,0.0,910.0447705783215
22359,Karnali,0.0,5727.0517578125,0.0,56.985117117353404
22360,Rapti,0.0,49087.0859375,0.0,488.42466584699736
22361,Bheri,0.0,146921.15625,0.0,1461.8899304519493
22362,Dhawalagiri,0.0,5340.58349609375,0.0,53.139693662581834
22363,Gandaki,0.0,46540.4765625,0.0,463.0854791898202
22364,Lumbini,0.0,192527.21875,0.0,1915.6778343727792
